company_id,type,rule_id,text,confidence_pct
ADANIGREEN,con,CON_02,Negative free cash flow raises concern about cash generation quality.,90
ADANIGREEN,con,CON_10,Low asset turnover indicates inefficient utilization of company assets.,80
ADANIGREEN,con,CON_11,"Free cash flow is significantly lower than operating cash flow, indicating heavy capital expenditure.",85
ADANIGREEN,con,CON_12,Book value per share is relatively low compared with earnings per share.,75
ADANIGREEN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIGREEN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
ADANIPORTS,con,CON_10,Low asset turnover indicates inefficient utilization of company assets.,80
ADANIPORTS,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
ADANIPORTS,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
ADANIPORTS,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
ADANIPOWER,con,CON_12,Book value per share is relatively low compared with earnings per share.,75
ADANIPOWER,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ADANIPOWER,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
ADANIPOWER,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIPOWER,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
ADANIPOWER,pro,PRO_10,Business quality metrics have strengthened consistently over recent years.,80
AMBUJACEM,con,CON_02,Negative free cash flow raises concern about cash generation quality.,90
AMBUJACEM,con,CON_05,Revenue growth below 5% over five years suggests weak business momentum.,85
AMBUJACEM,con,CON_11,"Free cash flow is significantly lower than operating cash flow, indicating heavy capital expenditure.",85
AMBUJACEM,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95
AMBUJACEM,pro,PRO_07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
AMBUJACEM,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
APOLLOHOSP,con,CON_11,"Free cash flow is significantly lower than operating cash flow, indicating heavy capital expenditure.",85
APOLLOHOSP,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
APOLLOHOSP,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,95
APOLLOHOSP,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
APOLLOHOSP,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
APOLLOHOSP,pro,PRO_12,Efficient utilization of assets supports sustainable business growth.,80
ASIANPAINT,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ASIANPAINT,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
ASIANPAINT,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,95
ASIANPAINT,pro,PRO_07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
ASIANPAINT,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
ASIANPAINT,pro,PRO_10,Business quality metrics have strengthened consistently over recent years.,80
ASIANPAINT,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
ASIANPAINT,pro,PRO_12,Efficient utilization of assets supports sustainable business growth.,80
ATGL,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
ATGL,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,95
ATGL,pro,PRO_07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
ATGL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
ATGL,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
AXISBANK,con,CON_01,Debt-to-equity ratio of 8.25 is elevated and warrants monitoring.,95
AXISBANK,con,CON_02,Negative free cash flow raises concern about cash generation quality.,90
AXISBANK,con,CON_10,Low asset turnover indicates inefficient utilization of company assets.,80
AXISBANK,con,CON_11,"Free cash flow is significantly lower than operating cash flow, indicating heavy capital expenditure.",85
AXISBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
AXISBANK,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,95
AXISBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
AXISBANK,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
BAJAJ-AUTO,con,CON_12,Book value per share is relatively low compared with earnings per share.,75
BAJAJ-AUTO,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BAJAJ-AUTO,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
BAJAJ-AUTO,pro,PRO_07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
BAJAJ-AUTO,pro,PRO_10,Business quality metrics have strengthened consistently over recent years.,80
BAJAJ-AUTO,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
BAJAJ-AUTO,pro,PRO_12,Efficient utilization of assets supports sustainable business growth.,80
BAJAJFINSV,con,CON_01,Debt-to-equity ratio of 4.79 is elevated and warrants monitoring.,95
BAJAJFINSV,con,CON_02,Negative free cash flow raises concern about cash generation quality.,90
BAJAJFINSV,con,CON_10,Low asset turnover indicates inefficient utilization of company assets.,80
BAJAJFINSV,con,CON_11,"Free cash flow is significantly lower than operating cash flow, indicating heavy capital expenditure.",85
BAJAJFINSV,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BAJAJFINSV,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
BAJAJFINSV,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
BAJAJFINSV,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,95
BAJAJFINSV,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BAJAJFINSV,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
BAJAJHLDNG,con,CON_10,Low asset turnover indicates inefficient utilization of company assets.,80
BAJAJHLDNG,con,CON_12,Book value per share is relatively low compared with earnings per share.,75
BAJAJHLDNG,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
BAJAJHLDNG,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95
BAJAJHLDNG,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
BAJAJHLDNG,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
BAJAJHLDNG,pro,PRO_07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
BAJAJHLDNG,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BAJAJHLDNG,pro,PRO_10,Business quality metrics have strengthened consistently over recent years.,80
BAJFINANCE,con,CON_01,Debt-to-equity ratio of 3.82 is elevated and warrants monitoring.,95
BAJFINANCE,con,CON_02,Negative free cash flow raises concern about cash generation quality.,90
BAJFINANCE,con,CON_10,Low asset turnover indicates inefficient utilization of company assets.,80
BAJFINANCE,con,CON_11,"Free cash flow is significantly lower than operating cash flow, indicating heavy capital expenditure.",85
BAJFINANCE,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
BAJFINANCE,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
BAJFINANCE,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,95
BAJFINANCE,pro,PRO_07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
BAJFINANCE,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BAJFINANCE,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
BANKBARODA,con,CON_01,Debt-to-equity ratio of 12.14 is elevated and warrants monitoring.,95
BANKBARODA,con,CON_02,Negative free cash flow raises concern about cash generation quality.,90
BANKBARODA,con,CON_10,Low asset turnover indicates inefficient utilization of company assets.,80
BANKBARODA,con,CON_11,"Free cash flow is significantly lower than operating cash flow, indicating heavy capital expenditure.",85
BANKBARODA,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
BANKBARODA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
BANKBARODA,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,95
BANKBARODA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BANKBARODA,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
BEL,con,CON_02,Negative free cash flow raises concern about cash generation quality.,90
BEL,con,CON_11,"Free cash flow is significantly lower than operating cash flow, indicating heavy capital expenditure.",85
BEL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BEL,pro,PRO_07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
BEL,pro,PRO_10,Business quality metrics have strengthened consistently over recent years.,80
BEL,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
BEL,pro,PRO_12,Efficient utilization of assets supports sustainable business growth.,80
BHARTIARTL,con,CON_01,Debt-to-equity ratio of 2.61 is elevated and warrants monitoring.,95
BHARTIARTL,con,CON_10,Low asset turnover indicates inefficient utilization of company assets.,80
BHARTIARTL,con,CON_11,"Free cash flow is significantly lower than operating cash flow, indicating heavy capital expenditure.",85
BHARTIARTL,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
BHARTIARTL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
BHARTIARTL,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,95
BHARTIARTL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BHARTIARTL,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
BHEL,con,CON_02,Negative free cash flow raises concern about cash generation quality.,90
BHEL,con,CON_03,"Operating profit margin is low, indicating pricing pressure or weak operating efficiency.",80
BHEL,con,CON_05,Revenue growth below 5% over five years suggests weak business momentum.,85
BHEL,con,CON_07,Return on equity below 10% indicates weak shareholder returns.,85
BHEL,con,CON_08,Profit growth has remained below 5% CAGR over the past five years.,85
BHEL,con,CON_09,Weak earnings-per-share growth limits long-term shareholder value creation.,80
BHEL,con,CON_10,Low asset turnover indicates inefficient utilization of company assets.,80
BHEL,con,CON_11,"Free cash flow is significantly lower than operating cash flow, indicating heavy capital expenditure.",85
BOSCHLTD,con,CON_12,Book value per share is relatively low compared with earnings per share.,75
BOSCHLTD,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BOSCHLTD,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
BOSCHLTD,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95
BOSCHLTD,pro,PRO_07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
BOSCHLTD,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
BPCL,con,CON_03,"Operating profit margin is low, indicating pricing pressure or weak operating efficiency.",80
BPCL,con,CON_12,Book value per share is relatively low compared with earnings per share.,75
BPCL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BPCL,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
BPCL,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,95
BPCL,pro,PRO_07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
BPCL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BPCL,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
BPCL,pro,PRO_12,Efficient utilization of assets supports sustainable business growth.,80
BRITANNIA,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BRITANNIA,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
BRITANNIA,pro,PRO_07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
BRITANNIA,pro,PRO_10,Business quality metrics have strengthened consistently over recent years.,80
BRITANNIA,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
BRITANNIA,pro,PRO_12,Efficient utilization of assets supports sustainable business growth.,80
CANBK,con,CON_01,Debt-to-equity ratio of 14.87 is elevated and warrants monitoring.,95
CANBK,con,CON_10,Low asset turnover indicates inefficient utilization of company assets.,80
CANBK,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
CANBK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
CANBK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
CANBK,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,95
CANBK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
CANBK,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
CHOLAFIN,con,CON_01,Debt-to-equity ratio of 6.86 is elevated and warrants monitoring.,95
CHOLAFIN,con,CON_02,Negative free cash flow raises concern about cash generation quality.,90
CHOLAFIN,con,CON_10,Low asset turnover indicates inefficient utilization of company assets.,80
CHOLAFIN,con,CON_11,"Free cash flow is significantly lower than operating cash flow, indicating heavy capital expenditure.",85
CHOLAFIN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
CHOLAFIN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
CHOLAFIN,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,95
CHOLAFIN,pro,PRO_07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
CHOLAFIN,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
CHOLAFIN,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
CIPLA,con,CON_11,"Free cash flow is significantly lower than operating cash flow, indicating heavy capital expenditure.",85
CIPLA,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
CIPLA,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95
CIPLA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
CIPLA,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,95
CIPLA,pro,PRO_07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
CIPLA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
CIPLA,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
COALINDIA,con,CON_12,Book value per share is relatively low compared with earnings per share.,75
COALINDIA,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
COALINDIA,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
COALINDIA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
COALINDIA,pro,PRO_07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
COALINDIA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
COALINDIA,pro,PRO_10,Business quality metrics have strengthened consistently over recent years.,80
COALINDIA,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
DABUR,con,CON_08,Profit growth has remained below 5% CAGR over the past five years.,85
DABUR,con,CON_09,Weak earnings-per-share growth limits long-term shareholder value creation.,80
DABUR,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
DABUR,pro,PRO_07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
DIVISLAB,con,CON_08,Profit growth has remained below 5% CAGR over the past five years.,85
DIVISLAB,con,CON_09,Weak earnings-per-share growth limits long-term shareholder value creation.,80
DIVISLAB,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
DIVISLAB,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95
DIVISLAB,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
DIVISLAB,pro,PRO_07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
DLF,con,CON_05,Revenue growth below 5% over five years suggests weak business momentum.,85
DLF,con,CON_07,Return on equity below 10% indicates weak shareholder returns.,85
DLF,con,CON_10,Low asset turnover indicates inefficient utilization of company assets.,80
DLF,con,CON_11,"Free cash flow is significantly lower than operating cash flow, indicating heavy capital expenditure.",85
DLF,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
DLF,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
DLF,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
DMART,con,CON_03,"Operating profit margin is low, indicating pricing pressure or weak operating efficiency.",80
DMART,con,CON_11,"Free cash flow is significantly lower than operating cash flow, indicating heavy capital expenditure.",85
DMART,con,CON_12,Book value per share is relatively low compared with earnings per share.,75
DMART,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
DMART,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95
DMART,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
DMART,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,95
DMART,pro,PRO_07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
DMART,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
DMART,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
DMART,pro,PRO_12,Efficient utilization of assets supports sustainable business growth.,80
DRREDDY,con,CON_11,"Free cash flow is significantly lower than operating cash flow, indicating heavy capital expenditure.",85
DRREDDY,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
DRREDDY,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
DRREDDY,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,95
DRREDDY,pro,PRO_07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
DRREDDY,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
DRREDDY,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
EICHERMOT,con,CON_11,"Free cash flow is significantly lower than operating cash flow, indicating heavy capital expenditure.",85
EICHERMOT,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
EICHERMOT,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
EICHERMOT,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95
EICHERMOT,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
EICHERMOT,pro,PRO_07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
EICHERMOT,pro,PRO_10,Business quality metrics have strengthened consistently over recent years.,80
EICHERMOT,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
GAIL,con,CON_11,"Free cash flow is significantly lower than operating cash flow, indicating heavy capital expenditure.",85
GAIL,con,CON_12,Book value per share is relatively low compared with earnings per share.,75
GAIL,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
GAIL,pro,PRO_07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
GAIL,pro,PRO_12,Efficient utilization of assets supports sustainable business growth.,80
GODREJCP,con,CON_02,Negative free cash flow raises concern about cash generation quality.,90
GODREJCP,con,CON_04,Company reported a negative net profit margin in the latest financial year.,95
GODREJCP,con,CON_07,Return on equity below 10% indicates weak shareholder returns.,85
GODREJCP,con,CON_11,"Free cash flow is significantly lower than operating cash flow, indicating heavy capital expenditure.",85
GRASIM,con,CON_02,Negative free cash flow raises concern about cash generation quality.,90
GRASIM,con,CON_10,Low asset turnover indicates inefficient utilization of company assets.,80
GRASIM,con,CON_11,"Free cash flow is significantly lower than operating cash flow, indicating heavy capital expenditure.",85
GRASIM,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,95
GRASIM,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
GRASIM,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
HAL,con,CON_11,"Free cash flow is significantly lower than operating cash flow, indicating heavy capital expenditure.",85
HAL,con,CON_12,Book value per share is relatively low compared with earnings per share.,75
HAL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
HAL,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
HAL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
HAL,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,95
HAL,pro,PRO_07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
HAL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
HAL,pro,PRO_10,Business quality metrics have strengthened consistently over recent years.,80
HAL,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
HAL,pro,PRO_12,Efficient utilization of assets supports sustainable business growth.,80
HAVELLS,con,CON_11,"Free cash flow is significantly lower than operating cash flow, indicating heavy capital expenditure.",85
HAVELLS,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
HAVELLS,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95
HAVELLS,pro,PRO_07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
HAVELLS,pro,PRO_12,Efficient utilization of assets supports sustainable business growth.,80
HCLTECH,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
HCLTECH,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
HCLTECH,pro,PRO_07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
HCLTECH,pro,PRO_12,Efficient utilization of assets supports sustainable business growth.,80
HDFCBANK,con,CON_01,Debt-to-equity ratio of 6.81 is elevated and warrants monitoring.,95
HDFCBANK,con,CON_06,Low interest coverage indicates elevated debt servicing risk.,95
HDFCBANK,con,CON_10,Low asset turnover indicates inefficient utilization of company assets.,80
HDFCBANK,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
HDFCBANK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
HDFCBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
HDFCBANK,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,95
HDFCBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
HDFCBANK,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
HDFCLIFE,con,CON_02,Negative free cash flow raises concern about cash generation quality.,90
HDFCLIFE,con,CON_08,Profit growth has remained below 5% CAGR over the past five years.,85
HDFCLIFE,con,CON_09,Weak earnings-per-share growth limits long-term shareholder value creation.,80
HDFCLIFE,con,CON_10,Low asset turnover indicates inefficient utilization of company assets.,80
HDFCLIFE,con,CON_11,"Free cash flow is significantly lower than operating cash flow, indicating heavy capital expenditure.",85
HDFCLIFE,con,CON_12,Book value per share is relatively low compared with earnings per share.,75
HDFCLIFE,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
HDFCLIFE,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
HDFCLIFE,pro,PRO_07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
HEROMOTOCO,con,CON_05,Revenue growth below 5% over five years suggests weak business momentum.,85
HEROMOTOCO,con,CON_08,Profit growth has remained below 5% CAGR over the past five years.,85
HEROMOTOCO,con,CON_09,Weak earnings-per-share growth limits long-term shareholder value creation.,80
HEROMOTOCO,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
HEROMOTOCO,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
HEROMOTOCO,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95
HEROMOTOCO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
HEROMOTOCO,pro,PRO_07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
HEROMOTOCO,pro,PRO_12,Efficient utilization of assets supports sustainable business growth.,80
HINDALCO,con,CON_07,Return on equity below 10% indicates weak shareholder returns.,85
HINDALCO,con,CON_11,"Free cash flow is significantly lower than operating cash flow, indicating heavy capital expenditure.",85
HINDALCO,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
HINDALCO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
HINDALCO,pro,PRO_07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
HINDALCO,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
HINDUNILVR,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
HINDUNILVR,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
HINDUNILVR,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95
